id_cuenta;id_cliente;saldo;fecha_apertura
1;1;1000;2025-10-12
5;5;1000;2025-10-12
6;6;1000;2025-10-12
14;14;1000;2025-10-12
15;15;1000;2025-10-12
16;16;1000;2025-10-12
22;22;1000;2025-10-12
29;29;1000;2025-10-12
30;30;1000;2025-10-12
34;34;1000;2025-10-12
36;36;1000;2025-10-12
37;37;1000;2025-10-12
39;39;1000;2025-10-12
48;48;1000;2025-10-12
52;52;1000;2025-10-12
56;56;1000;2025-10-12
58;58;1000;2025-10-12
61;61;1000;2025-10-12
79;79;1000;2025-10-12
81;81;1000;2025-10-12
82;82;1000;2025-10-12
85;85;1000;2025-10-12
88;88;1000;2025-10-12
89;89;1000;2025-10-12
94;94;1000;2025-10-12
99;99;1000;2025-10-12
100;100;1000;2025-10-12
105;105;1000;2025-10-12
107;107;1000;2025-10-12
108;108;1000;2025-10-12
111;111;1000;2025-10-12
112;112;1000;2025-10-12
119;119;1000;2025-10-12
122;122;1000;2025-10-12
125;125;1000;2025-10-12
128;128;1000;2025-10-12
133;133;1000;2025-10-12
141;141;1000;2025-10-12
142;142;1000;2025-10-12
143;143;1000;2025-10-12
147;147;1000;2025-10-12
148;148;1000;2025-10-12
150;150;1000;2025-10-12
154;154;1000;2025-10-12
155;155;1000;2025-10-12
156;156;1000;2025-10-12
158;158;1000;2025-10-12
163;163;1000;2025-10-12
164;164;1000;2025-10-12
166;166;1000;2025-10-12
173;173;1000;2025-10-12
174;174;1000;2025-10-12
178;178;1000;2025-10-12
179;179;1000;2025-10-12
184;184;1000;2025-10-12
186;186;1000;2025-10-12
193;193;1000;2025-10-12
194;194;1000;2025-10-12
198;198;1000;2025-10-12
199;199;1000;2025-10-12
203;203;1000;2025-10-12
207;207;1000;2025-10-12
220;220;1000;2025-10-12
225;225;1000;2025-10-12
227;227;1000;2025-10-12
229;229;1000;2025-10-12
234;234;1000;2025-10-12
235;235;1000;2025-10-12
237;237;1000;2025-10-12
242;242;1000;2025-10-12
243;243;1000;2025-10-12
246;246;1000;2025-10-12
249;249;1000;2025-10-12
250;250;1000;2025-10-12
255;255;1000;2025-10-12
259;259;1000;2025-10-12
260;260;1000;2025-10-12
264;264;1000;2025-10-12
272;272;1000;2025-10-12
274;274;1000;2025-10-12
276;276;1000;2025-10-12
278;278;1000;2025-10-12
280;280;1000;2025-10-12
285;285;1000;2025-10-12
297;297;1000;2025-10-12
298;298;1000;2025-10-12
299;299;1000;2025-10-12
304;304;1000;2025-10-12
305;305;1000;2025-10-12
307;307;1000;2025-10-12
308;308;1000;2025-10-12
311;311;1000;2025-10-12
316;316;1000;2025-10-12
319;319;1000;2025-10-12
321;321;1000;2025-10-12
323;323;1000;2025-10-12
324;324;1000;2025-10-12
325;325;1000;2025-10-12
328;328;1000;2025-10-12
329;329;1000;2025-10-12
331;331;1000;2025-10-12
336;336;1000;2025-10-12
347;347;1000;2025-10-12
351;351;1000;2025-10-12
362;362;1000;2025-10-12
364;364;1000;2025-10-12
366;366;1000;2025-10-12
367;367;1000;2025-10-12
372;372;1000;2025-10-12
373;373;1000;2025-10-12
374;374;1000;2025-10-12
375;375;1000;2025-10-12
377;377;1000;2025-10-12
381;381;1000;2025-10-12
382;382;1000;2025-10-12
384;384;1000;2025-10-12
387;387;1000;2025-10-12
391;391;1000;2025-10-12
393;393;1000;2025-10-12
395;395;1000;2025-10-12
396;396;1000;2025-10-12
398;398;1000;2025-10-12
403;403;1000;2025-10-12
405;405;1000;2025-10-12
407;407;1000;2025-10-12
408;408;1000;2025-10-12
411;411;1000;2025-10-12
412;412;1000;2025-10-12
413;413;1000;2025-10-12
421;421;1000;2025-10-12
422;422;1000;2025-10-12
423;423;1000;2025-10-12
425;425;1000;2025-10-12
426;426;1000;2025-10-12
427;427;1000;2025-10-12
429;429;1000;2025-10-12
430;430;1000;2025-10-12
434;434;1000;2025-10-12
436;436;1000;2025-10-12
437;437;1000;2025-10-12
445;445;1000;2025-10-12
448;448;1000;2025-10-12
454;454;1000;2025-10-12
455;455;1000;2025-10-12
459;459;1000;2025-10-12
463;463;1000;2025-10-12
466;466;1000;2025-10-12
467;467;1000;2025-10-12
470;470;1000;2025-10-12
471;471;1000;2025-10-12
478;478;1000;2025-10-12
497;497;1000;2025-10-12
504;504;1000;2025-10-12
510;510;1000;2025-10-12
512;512;1000;2025-10-12
515;515;1000;2025-10-12
516;516;1000;2025-10-12
519;519;1000;2025-10-12
520;520;1000;2025-10-12
521;521;1000;2025-10-12
525;525;1000;2025-10-12
526;526;1000;2025-10-12
531;531;1000;2025-10-12
532;532;1000;2025-10-12
533;533;1000;2025-10-12
546;546;1000;2025-10-12
